x y z
0.8952293945 0.8715018799 0.7448138428 
0.0732069336 0.9263570068 0.7520345459 
0.4084540039 0.2394415771 0.8081373779 
0.5307006104 0.8748198975 0.1547766602 
0.5514307373 0.7032875000 0.0420494629 
0.8935649414 0.1780947754 0.2239582520 
0.2384258301 0.1276291748 0.4567717285 
0.5177508545 0.0081428467 0.6458375977 
0.3654623047 0.1063902100 0.9535434326 
0.2826037354 0.3682812500 0.0510411377 
0.8851198975 0.5200515625 0.1212141602 
0.1269535645 0.3768333252 0.8765066162 
0.2535043457 0.1578706787 0.3351790283 
0.3506402344 0.6746281250 0.3557214844 
0.7762376953 0.0713671631 0.0745465088 
0.0898705322 0.3351967529 0.8526462891 
0.4516344482 0.0378340576 0.0023038086 
0.9179690430 0.1437401123 0.5521838623 
0.3722279053 0.6973889648 0.2152811035 
0.8385782959 0.2052595703 0.1854673340 
0.9927849365 0.0147170410 0.8239253418 
0.9082283691 0.9669165771 0.7493006836 
0.9457782471 0.9718693359 0.3741401855 
0.9922322021 0.4245510254 0.1191177002 
0.6287956299 0.0627812988 0.8238534912 
0.5014431641 0.4457312988 0.2555768066 
0.0745853516 0.3060118652 0.7005182129 
0.0055466309 0.0215940186 0.9243397705 
0.7791593750 0.1391145752 0.0568888428 
0.7285023193 0.1770281494 0.4214041260 
0.4240245361 0.0271010010 0.3169482178 
0.9862132324 0.3921108643 0.0045466309 
0.8971813965 0.2083480957 0.5833363525 
0.4195974854 0.3456727051 0.1983218750 
0.9807307373 0.2271714355 0.3649931641 
0.7048944336 0.2527188477 0.0688422852 
0.2948359375 0.3688760498 0.1231974609 
0.5937618652 0.1511553223 0.7788715820 
0.5676567383 0.7681732422 0.1359200195 
0.9088813721 0.1403653320 0.9304898438 
0.5112811035 0.7982977295 0.1370650391 
0.0553829346 0.3089778076 0.6221472168 
0.3092911621 0.0210417725 0.2689104492 
0.2060486816 0.0473682617 0.3752376465 
0.4455224365 0.0794139160 0.7391085693 
0.2847314453 0.7953761719 0.7902973877 
0.7924566650 0.4713820312 0.0890651367 
0.6701262207 0.0167091309 0.0380803223 
0.7502697510 0.8119135742 0.0957614990 
0.0617573486 0.2942327393 0.7954085693 
0.2399320068 0.0757990479 0.6721510010 
0.3689852051 0.0767671631 0.8891927734 
0.3174909668 0.7308870850 0.2550044678 
0.3616106934 0.2743615234 0.9663997070 
0.3639619385 0.8608046631 0.1677317627 
0.7341085449 0.0345573486 0.9733818848 
0.6772966309 0.0386120605 0.5174113525 
0.9205881348 0.3265024414 0.2469814453 
0.9549171143 0.2647969238 0.4763389893 
0.5581867432 0.8636858643 0.5021453857 
0.7751017578 0.1137085693 0.8016513672 
0.4151530273 0.0889059326 0.4707073242 
0.1828470703 0.4169953125 0.0830785156 
0.1563872559 0.0817352539 0.8555644531 
0.9682626465 0.3458864502 0.9692517090 
0.2303598389 0.6672835693 0.4881169189 
0.1182418945 0.8897609619 0.0205087891 
0.4305858643 0.6496759277 0.0736714111 
0.9674082275 0.9615294434 0.6184423584 
0.2331291748 0.9364302490 0.5988184082 
0.8252298096 0.0919666260 0.1615730469 
0.0616276611 0.2652672363 0.0924658203 
0.0206005127 0.0580512451 0.3605805664 
0.7614322021 0.4454428955 0.9338053223 
0.0439936768 0.8588542969 0.3223189941 
0.6641779297 0.1937888428 0.6445952637 
0.0072118896 0.2876366699 0.3451766357 
0.9423369873 0.0169172852 0.5921829102 
