x y z
0.9489047485 0.6939621948 0.7735054932 
0.7691616211 0.5895270630 0.9870687988 
0.6266831299 0.1475313354 0.1326256592 
0.4165708984 0.8706915039 0.9836467285 
0.8855014038 0.8509360962 0.1759007446 
0.4713716309 0.2723867432 0.5239550415 
0.5315253174 0.1475605835 0.3934049561 
0.4694279907 0.1411578247 0.4419354858 
0.4409969604 0.6024295410 0.0099563477 
0.2027792603 0.2090623779 0.7340559570 
0.8331334717 0.8848825562 0.0421498291 
0.6039308716 0.3266290283 0.1223772095 
0.8687370117 0.1580084595 0.0746532715 
0.5572539917 0.4672446289 0.5369309937 
0.4214697510 0.1370714111 0.3331071167 
0.7073222168 0.0840369141 0.1485479248 
0.5679828979 0.6024782349 0.1642589722 
0.4840839722 0.5735194336 0.2828588501 
0.7136643555 0.8046718872 0.3741503052 
0.3337255859 0.1027947144 0.2941723755 
0.5014977295 0.0547113770 0.7044615723 
0.0567547974 0.4080189209 0.9122742065 
0.4584141479 0.4356990479 0.0933406250 
0.0727468506 0.5943863647 0.6683084106 
0.6501676514 0.6617544189 0.1484560303 
0.5772059814 0.2402332764 0.2639120850 
0.8403558960 0.9401322632 0.2810187622 
0.0979967896 0.5600736816 0.9212934570 
0.4071536987 0.5894250000 0.9102593750 
0.8881468750 0.0184747314 0.6504897949 
0.5560999023 0.9221960327 0.5187055908 
0.3770495605 0.8175953613 0.9348581543 
0.0896319580 0.4133342529 0.1221741211 
0.7332944580 0.7332502319 0.8904829102 
0.4562628052 0.2600679199 0.3212145996 
0.3369240723 0.1941631104 0.9124973999 
0.7855014648 0.9211918823 0.8619843628 
0.5241380859 0.2719451416 0.2143327148 
0.9532103394 0.8661458130 0.8529711060 
0.6230532349 0.3548391235 0.1321041138 
0.5390183472 0.3537209595 0.9633008789 
0.8458388672 0.6257159424 0.1675916382 
0.4469946655 0.1413361328 0.6387376953 
0.9052503906 0.4055851196 0.1607509155 
0.5422877075 0.5555908936 0.2295342407 
0.2525856079 0.7223736816 0.7802774292 
0.7191725220 0.1030193726 0.0919724976 
0.3290375244 0.1753832764 0.8271340576 
0.4194199951 0.8507329468 0.8542038818 
0.2756383423 0.2923890137 0.8823241699 
0.4178681152 0.8547075317 0.7928724121 
0.7848571777 0.2267998169 0.2037525513 
0.1828466187 0.5964799805 0.8808310547 
0.1264796997 0.5811170654 0.9185354614 
0.0801628540 0.9750758545 0.4865341553 
0.3118498413 0.3761761963 0.0535099487 
0.5278070923 0.8805193359 0.0940019165 
0.6300736938 0.7345525757 0.6577479004 
0.4458015991 0.5224906250 0.1829613037 
0.2029483032 0.4624385132 0.0611881714 
0.6147722046 0.6991588867 0.7055652588 
0.8568075562 0.7793883911 0.2595561401 
0.1911132324 0.2967699829 0.3044300049 
0.6626011230 0.6718862671 0.7237845581 
0.7203381226 0.0232386353 0.0143494995 
0.3374110840 0.7351583618 0.8828944458 
0.6603061523 0.8713780396 0.4877710693 
0.7183446655 0.9827088379 0.8184860962 
0.2653023193 0.4463983032 0.4242107666 
0.5972560059 0.8699811890 0.5996520508 
0.5379785034 0.6864777466 0.4298528198 
0.0717055054 0.2420079956 0.1222333008 
0.7026324219 0.8302566284 0.8828561523 
0.8121514648 0.9852553589 0.8650104126 
0.1417692505 0.0475418091 0.2991310425 
0.4445500366 0.3056389526 0.2465920410 
0.2906395630 0.2874663330 0.6669704712 
0.6740005249 0.9588311279 0.2700384155 
0.7196234253 0.7268284058 0.2384483887 
0.8650964722 0.9388311401 0.8034844360 
0.1493864502 0.0862563110 0.9587021118 
0.0432713379 0.8255651001 0.2356107056 
0.5978559204 0.7314977905 0.9747445557 
0.1777257568 0.8210381958 0.5968282104 
0.2320616455 0.9329946411 0.7375930298 
0.4475911621 0.6793658569 0.9576999512 
0.8920458008 0.7979723633 0.9251487183 
0.0761841064 0.7900268311 0.1176404053 
0.8569890381 0.8504820190 0.9576554077 
0.0906946167 0.9663792603 0.1212189087 
0.8475281006 0.6662893555 0.3116888550 
0.4023632813 0.2294357422 0.2481395874 
0.8975389771 0.9014194458 0.8887124268 
0.0046072021 0.2304298218 0.9617005371 
0.1318910156 0.3526524902 0.1909188721 
0.6313088257 0.7717519043 0.2419815430 
0.9513821655 0.6117059082 0.2692800781 
0.2328819580 0.5640455444 0.8695975830 
0.1161136597 0.9607312622 0.8668203491 
0.3508487183 0.3567106934 0.9545676270 
0.2102756836 0.2176446411 0.1494116699 
0.6309594604 0.5086913452 0.1033965088 
0.6686270142 0.9697219360 0.5847119629 
0.5195260742 0.5002246216 0.6720035278 
0.9817017456 0.4854185181 0.0741964966 
0.4770943237 0.1219865723 0.5072699951 
0.8397368896 0.6498601440 0.1982362549 
0.8164798584 0.7947354126 0.7255513062 
0.8354539673 0.9526314941 0.0470699341 
0.2875197754 0.1074601807 0.8345703369 
0.9590673462 0.2344561279 0.9370301636 
0.8525551392 0.0667932617 0.8123521606 
0.5036037720 0.5520919556 0.4615431030 
0.6123856445 0.9579609863 0.5583607544 
0.6616063843 0.9721749878 0.0814112549 
0.1963307251 0.4349917480 0.2372918213 
0.1043769043 0.4402355957 0.1168465454 
0.0729283325 0.3372450928 0.2752687866 
0.8074807495 0.6403063477 0.0016302246 
0.7207656738 0.9101908936 0.0330075195 
0.9159316406 0.9210068848 0.0204799927 
0.2182829468 0.5991816528 0.7519892578 
0.2601876099 0.1073846558 0.0705624268 
0.2143565796 0.1584645874 0.2235383911 
0.2749413330 0.4506981445 0.2369484985 
0.6031045166 0.4249829834 0.9415975098 
0.9846201538 0.3191627808 0.0713937012 
0.5938298218 0.4314565308 0.0805234619 
0.0017833984 0.4819414062 0.2329352661 
0.8559604370 0.6891729736 0.0077353149 
0.1276997314 0.7197432617 0.5988526489 
0.2274489136 0.0638239868 0.0314441895 
0.6076277588 0.6812762207 0.4149709473 
0.5508055908 0.6200852051 0.6092300537 
0.0763967896 0.0429302979 0.9593546387 
0.2687541870 0.3918232056 0.9083129883 
0.2377835815 0.1210213257 0.2126928101 
0.5615013550 0.2705416626 0.7419437500 
0.0773236084 0.6242762329 0.6676817383 
0.3760222534 0.9425818970 0.0642026611 
0.8140357910 0.0155437256 0.0330104004 
0.1863788940 0.4190909180 0.5735954102 
0.6860201904 0.2908817749 0.1242751831 
0.3114377930 0.2739681519 0.4453630005 
0.3962197632 0.8918017334 0.6801014160 
0.8704909424 0.7840758057 0.7914044556 
0.2167007446 0.2638648315 0.7141695801 
0.4861838135 0.3322842163 0.8968481323 
0.7540778076 0.6888724487 0.2091444824 
0.5470871216 0.9424994629 0.4587739136 
0.4114862305 0.6888192627 0.4190889404 
0.3287933228 0.5767937866 0.9187906738 
0.5631768799 0.6924900024 0.3384557617 
0.9844180542 0.1493509766 0.1049744019 
0.4074630737 0.3078424438 0.7122775269 
0.2619271606 0.6047803467 0.6368681274 
0.3985683838 0.3094129883 0.3218856201 
0.5328377686 0.1872272095 0.1902451416 
0.7341549316 0.9408515259 0.3647611572 
0.9877370850 0.6233134766 0.0071837646 
